classification_2019,classification_2020,classification_2021,es_espurio,temperature_2m,total_precipitation_sum
3,3,3,0,296.37682542480496,0.060638473206181466
3,3,3,0,296.1467367646839,0.06166833964329873
19,19,19,0,295.4231071212445,0.06892881867629204
19,19,19,0,295.6161575612428,0.06770514897845104
15,15,15,0,295.6554502681096,0.07481662385008647
3,3,3,0,296.1954371322617,0.06394850663683727
19,19,19,0,296.3654169935519,0.059343949728627145
3,3,3,0,295.8304949869917,0.06151896419467443
15,15,15,0,295.9957205254348,0.06399711546641502
19,19,19,0,296.12700256304555,0.06485491571170006
19,19,19,0,295.97045019071237,0.06704975493095233
3,3,3,0,295.8525976370857,0.06903125422539229
4,4,4,0,296.5703685110237,0.06814280229153151
3,19,4,0,296.33686402956016,0.05722384852510606
19,19,19,0,295.40622277459016,0.06602148912689998
3,3,3,0,296.2701596824288,0.058604734165886185
19,19,19,0,296.1796819724588,0.0638878626360686
19,19,19,0,295.40598436256465,0.06795005328796222
3,3,3,0,296.25610364828805,0.06488824836752727
3,3,3,0,296.10764019206505,0.05901909199696694
19,19,19,0,296.3405942291047,0.05610963779034132
19,19,19,0,296.19934586913064,0.06193427694183503
19,19,19,0,296.33686402956016,0.05722384852510606
3,3,3,0,296.4059745043547,0.05158857829711749
19,19,3,0,295.39927575728,0.06985048654021735
19,19,19,0,296.2562852085788,0.060900275432486474
19,19,19,0,296.0994625980812,0.06381345741293742
3,3,3,0,295.73642362116567,0.06169310785672977
3,3,3,0,296.4335916620826,0.05249607018969371
19,19,19,0,295.5206579752749,0.06658388875267818
3,3,3,0,296.2089079214037,0.06014014857353681
3,3,3,0,295.58659581332824,0.06568425101381455
3,3,3,0,296.464069851875,0.06805626007260794
19,19,19,0,295.5124200077074,0.06382278802337164
3,3,3,0,296.0564993516303,0.05964094477238172
4,4,4,0,296.4753503982194,0.06192279559713517
19,19,19,0,295.62132868181374,0.07389605246327235
3,3,3,0,296.3439801240348,0.05331229122819418
3,3,3,0,296.55969184711375,0.06907154944878731
3,3,3,0,296.0601326613531,0.06427191398880794
3,3,3,0,296.4313657001527,0.05798201215606843
